"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","age","measure_type","value"
"1.1","ESPI8","2022/23","Sep","2022-09",NA,"Whanganui","Central",NA,"Percent",1
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Auckland","Northern",NA,"Percent",1
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Bay of Plenty","Te Manawa Taki",NA,"Percent",0.925925925925926
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Canterbury","Te Waipounamu",NA,"Percent",0.92
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Capital & Coast","Central",NA,"Percent",0.9375
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Counties Manukau","Northern",NA,"Percent",0.924242424242424
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Hawke's Bay","Central",NA,"Percent",0.939393939393939
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Hutt Valley","Central",NA,"Percent",0.85
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Lakes","Te Manawa Taki",NA,"Percent",0.975
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","MidCentral","Central",NA,"Percent",0.942857142857143
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Nelson Marlborough","Te Waipounamu",NA,"Percent",0.818181818181818
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Northland","Northern",NA,"Percent",0.857142857142857
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","South Canterbury","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Southern","Te Waipounamu",NA,"Percent",0.625
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Tairāwhiti","Te Manawa Taki",NA,"Percent",0.882352941176471
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Taranaki","Te Manawa Taki",NA,"Percent",0.947368421052632
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Waikato","Te Manawa Taki",NA,"Percent",0.873684210526316
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Wairarapa","Central",NA,"Percent",0.888888888888889
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Waitematā","Northern",NA,"Percent",1
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","West Coast","Te Waipounamu",NA,"Percent",1
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","Whanganui","Central",NA,"Percent",1
"1.2.1","FCT 31 days","2017/18","Jun","2018-06","Māori ","National","National",NA,"Percent",0.914332784184514
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Auckland","Northern",NA,"Percent",0.823529411764706
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Bay of Plenty","Te Manawa Taki",NA,"Percent",0.967213114754098
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Canterbury","Te Waipounamu",NA,"Percent",0.96551724137931
"1.2.1","FCT 31 days","2018/19","Sep","2018-09","Māori ","Capital & Coast","Central",NA,"Percent",0.947368421052632
