"measure_number","measure","financial_year","quarter","year_month","ethnicity","district","region","measure_type","value"
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Southern","Te Waipounamu","Percent",99.1
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Taranaki","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Waikato","Te Manawa Taki","Value",23
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Waikato","Te Manawa Taki","Percent",98.2
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Wairarapa","Central","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Waitematā","Northern","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"West Coast","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"West Coast","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Whanganui","Central","Value",0
"1.1","ESPI8","2020/21","Dec","2020-12",NA,"Whanganui","Central","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"National","National","Value",116
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"National","National","Percent",99.4
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Auckland","Northern","Value",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Auckland","Northern","Percent",96.7
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Bay of Plenty","Te Manawa Taki","Value",2
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Bay of Plenty","Te Manawa Taki","Percent",99.7
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Capital & Coast","Central","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Capital & Coast","Central","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Counties Manukau","Northern","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Counties Manukau","Northern","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Hawke's Bay","Central","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Hawke's Bay","Central","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Hutt Valley","Central","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Hutt Valley","Central","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Lakes","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Lakes","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"MidCentral","Central","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"MidCentral","Central","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Nelson Marlborough","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Nelson Marlborough","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Northland","Northern","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Northland","Northern","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"South Canterbury","Te Waipounamu","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"South Canterbury","Te Waipounamu","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Southern","Te Waipounamu","Value",7
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Southern","Te Waipounamu","Percent",99.4
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Tairāwhiti","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Tairāwhiti","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Taranaki","Te Manawa Taki","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Taranaki","Te Manawa Taki","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Waikato","Te Manawa Taki","Value",7
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Waikato","Te Manawa Taki","Percent",99.6
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Wairarapa","Central","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Wairarapa","Central","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Waitematā","Northern","Value",0
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"Waitematā","Northern","Percent",100
"1.1","ESPI8","2020/21","Mar","2021-03",NA,"West Coast","Te Waipounamu","Value",0
